Time,People In,People Out,People Inside
2024-03-19 12:39:12,0,0,0
2024-03-19 12:39:14,0,0,0
2024-03-19 12:39:15,1,0,1
2024-03-19 12:39:16,1,0,1
2024-03-19 12:39:17,1,0,1
2024-03-19 12:39:18,1,0,1
2024-03-19 12:39:19,1,0,1
2024-03-19 12:39:20,1,0,1
2024-03-19 12:39:21,1,0,1
2024-03-19 12:39:23,1,0,1
2024-03-19 12:39:24,1,0,1
2024-03-19 12:39:25,1,0,1
2024-03-19 12:39:26,1,0,1
2024-03-19 12:39:27,1,0,1
2024-03-19 12:39:28,1,0,1
2024-03-19 12:39:29,1,0,1
2024-03-19 12:39:30,1,0,1
2024-03-19 12:39:31,1,0,1
2024-03-19 12:39:32,1,0,1
2024-03-19 12:39:33,1,0,1
2024-03-19 12:39:34,1,0,1
2024-03-19 12:39:35,1,0,1
2024-03-19 12:39:36,1,0,1
2024-03-19 12:39:37,1,0,1
2024-03-19 12:39:38,1,0,1
2024-03-19 12:39:39,1,0,1
2024-03-19 12:39:40,1,0,1
2024-03-19 12:39:41,1,0,1
2024-03-19 12:39:42,1,0,1
2024-03-19 12:39:43,1,1,0
2024-03-19 12:39:44,1,1,0
2024-03-19 12:39:45,1,1,0
2024-03-19 12:39:46,1,1,0
2024-03-19 12:39:48,1,1,0
2024-03-19 12:39:49,1,1,0
2024-03-19 12:39:51,1,1,0
2024-03-19 12:39:52,1,1,0
2024-03-19 12:39:53,1,1,0
2024-03-19 12:39:54,1,1,0
2024-03-19 12:39:55,1,1,0
2024-03-19 12:39:56,1,1,0
2024-03-19 12:39:57,4,2,2
2024-03-19 12:39:58,6,3,3
2024-03-19 12:39:59,6,3,3
2024-03-19 12:40:00,7,3,4
2024-03-19 12:40:01,7,3,4
2024-03-19 12:40:02,7,3,4
2024-03-19 12:40:03,7,3,4
2024-03-19 12:40:04,7,3,4
2024-03-19 12:40:05,7,3,4
2024-03-19 12:40:06,8,3,5
2024-03-19 12:40:07,8,3,5
2024-03-19 12:40:09,8,3,5
2024-03-19 12:40:10,8,3,5
2024-03-19 12:40:11,8,3,5
2024-03-19 12:40:12,8,3,5
2024-03-19 12:40:13,8,3,5
2024-03-19 12:40:14,8,3,5
2024-03-19 12:40:15,8,3,5
2024-03-19 12:40:16,8,3,5
2024-03-19 12:40:17,8,3,5
2024-03-19 12:40:18,8,3,5
2024-03-19 12:40:19,8,3,5
2024-03-19 12:40:20,8,3,5
2024-03-19 12:40:21,8,3,5
2024-03-19 12:40:22,8,3,5
2024-03-19 12:40:24,8,3,5
2024-03-19 12:40:25,8,3,5
2024-03-19 12:40:26,8,3,5
2024-03-19 12:40:27,8,3,5
2024-03-19 12:40:28,8,3,5
2024-03-19 12:40:29,8,3,5
2024-03-19 12:40:30,8,3,5
2024-03-19 12:40:31,8,3,5
2024-03-19 12:40:32,8,3,5
2024-03-19 12:40:33,8,3,5
2024-03-19 12:40:34,8,3,5
2024-03-19 12:40:35,8,3,5
2024-03-19 12:40:36,8,3,5
2024-03-19 12:40:37,8,3,5
2024-03-19 12:40:38,8,3,5
2024-03-19 12:40:39,8,3,5
2024-03-19 12:40:40,8,3,5
2024-03-19 12:40:41,8,3,5
2024-03-19 12:40:42,8,3,5
2024-03-19 12:40:43,8,3,5
2024-03-19 12:40:45,8,3,5
2024-03-19 12:40:46,8,3,5
2024-03-19 12:40:47,8,3,5
2024-03-19 12:40:48,8,3,5
2024-03-19 12:40:49,8,3,5
2024-03-19 12:40:50,8,3,5
2024-03-19 12:40:51,8,3,5
2024-03-19 12:40:52,8,3,5
2024-03-19 12:40:53,8,5,3
2024-03-19 12:40:54,8,5,3
2024-03-19 12:40:55,8,5,3
2024-03-19 12:40:57,8,6,2
2024-03-19 12:40:58,8,6,2
2024-03-19 12:40:59,8,6,2
2024-03-19 12:41:00,8,6,2
2024-03-19 12:41:01,8,6,2
2024-03-19 12:41:02,8,6,2
2024-03-19 12:41:04,8,6,2
2024-03-19 12:41:05,8,6,2
2024-03-19 12:41:06,8,6,2
2024-03-19 12:41:07,8,6,2
2024-03-19 12:41:08,8,6,2
2024-03-19 12:41:09,8,6,2
2024-03-19 12:41:10,8,6,2
2024-03-19 12:41:11,8,6,2
2024-03-19 12:41:12,8,6,2
2024-03-19 12:41:13,8,6,2
2024-03-19 12:41:14,8,6,2
2024-03-19 12:41:15,8,6,2
2024-03-19 12:41:16,8,6,2
2024-03-19 12:41:17,8,6,2
2024-03-19 12:41:18,8,6,2
2024-03-19 12:41:19,8,6,2
2024-03-19 12:41:20,8,6,2
2024-03-19 12:41:21,8,6,2
2024-03-19 12:41:22,8,6,2
2024-03-19 12:41:23,9,6,3
2024-03-19 12:41:24,9,6,3
2024-03-19 12:41:25,9,6,3
2024-03-19 12:41:26,9,6,3
